	premise	hypothesis	type-of-inference	metadata	label
0	Nice having a conversation with you before I headed to bed.	I am too tired to talk to you right now.	sarcasm	{'snum': '384499124747251713-1', 'incongruency': 'implicit'}	?
1	Nice having a conversation with you before I headed to bed.	Terrible having a conversation with you before I headed to bed.	sarcasm	{'snum': '384499124747251713-2', 'incongruency': 'implicit'}	?
2	Nice having a conversation with you before I headed to bed.	It was not nice having a conversation with you before I headed to bed.	sarcasm	{'snum': '384499124747251713-3', 'incongruency': 'implicit'}	?
3	Nice having a conversation with you before I headed to bed.	Unpleasant having a conversation with you before I headed to bed.	sarcasm	{'snum': '384499124747251713-4', 'incongruency': 'implicit'}	?
4	I'm starting to enjoy cardio now ? ? http://t.co/KTWKvBEzFk	I don't like cardio.	sarcasm	{'snum': '380407973278801920-1', 'incongruency': 'explicit'}	?
5	I'm starting to enjoy cardio now ? ? http://t.co/KTWKvBEzFk	I'm not starting to enjoy cardio now ? ? http://t.co/KTWKvBEzFk	sarcasm	{'snum': '380407973278801920-2', 'incongruency': 'explicit'}	?
6	I'm starting to enjoy cardio now ? ? http://t.co/KTWKvBEzFk	I'm starting to hate cardio now.	sarcasm	{'snum': '380407973278801920-3', 'incongruency': 'explicit'}	?
7	I'm starting to enjoy cardio now ? ? http://t.co/KTWKvBEzFk	I still don't like cardio.	sarcasm	{'snum': '380407973278801920-4', 'incongruency': 'explicit'}	?
8	I'm starting to enjoy cardio now ? ? http://t.co/KTWKvBEzFk	I hate cardio!	sarcasm	{'snum': '380407973278801920-5', 'incongruency': 'explicit'}	?
9	Alarm set 4 7am on a saturday :( sofworkingatweekend	I hate waking up early on the weekend for work.	sarcasm	{'snum': '388794221509218304-1', 'incongruency': 'implicit'}	?
10	Alarm set 4 7am on a saturday :( sofworkingatweekend	I don't want to work at 7am on saturday.	sarcasm	{'snum': '388794221509218304-2', 'incongruency': 'implicit'}	?
11	Alarm set 4 7am on a saturday :( sofworkingatweekend	Alarm is set for 7am, I hate working on the weekend	sarcasm	{'snum': '388794221509218304-3', 'incongruency': 'implicit'}	?
12	Alarm set 4 7am on a saturday :( sofworkingatweekend	I hate going in to work on a Saturday at 7 in the morning.	sarcasm	{'snum': '388794221509218304-4', 'incongruency': 'implicit'}	?
13	Anyone else wanna pile on to the bad day for me? Take your chance! :)	I'm having a bad day, I hope no one else adds anything to make it worse.	sarcasm	{'snum': '412377241075462144-1', 'incongruency': 'implicit'}	?
14	Anyone else wanna pile on to the bad day for me? Take your chance! :)	It seems like everyone is giving me a hard time today.	sarcasm	{'snum': '412377241075462144-2', 'incongruency': 'implicit'}	?
15	Anyone else wanna pile on to the bad day for me? Take your chance! :)	My day has had enough bad things in it. I hope there aren't any more.	sarcasm	{'snum': '412377241075462144-3', 'incongruency': 'implicit'}	?
16	I love when people lie to me about things I know about already. I don't know anything funnier than how stupid I look at them	I hate it when people lie to me about things I already know the truth about.	sarcasm	{'snum': '379125929248698368-1', 'incongruency': 'explicit'}	?
17	I love when people lie to me about things I know about already. I don't know anything funnier than how stupid I look at them	I dislike it when people lie to me about things I know about already. I don't know anything funnier than how stupid I look at them.	sarcasm	{'snum': '379125929248698368-2', 'incongruency': 'explicit'}	?
18	I love when people lie to me about things I know about already. I don't know anything funnier than how stupid I look at them	I hate when people lie to me about things I know about already. I know nothing funnier than how stupid I look at them	sarcasm	{'snum': '379125929248698368-3', 'incongruency': 'explicit'}	?
19	I love when people lie to me about things I know about already. I don't know anything funnier than how stupid I look at them	I hate when people lie to me about things I know about already. I know nothing funnier than how stupid I look to them.	sarcasm	{'snum': '379125929248698368-4', 'incongruency': 'explicit'}	?
20	Uh oh. See my good day circling down the toilet bowl. Yay. #thisblows	My day has been good so far but I think its starting to go bad.	sarcasm	{'snum': '378951903163330560-1', 'incongruency': 'explicit'}	?
21	Uh oh. See my good day circling down the toilet bowl. Yay. #thisblows	Uh oh. I'm no longer having a good day. #thisblows	sarcasm	{'snum': '378951903163330560-2', 'incongruency': 'explicit'}	?
22	Uh oh. See my good day circling down the toilet bowl. Yay. #thisblows	My good day is circling down the toilet bowl. This is awful.	sarcasm	{'snum': '378951903163330560-3', 'incongruency': 'explicit'}	?
23	Uh oh. See my good day circling down the toilet bowl. Yay. #thisblows	Uh oh. Not a good day circling down the toilet bowl. #thisblows	sarcasm	{'snum': '378951903163330560-4', 'incongruency': 'explicit'}	?
24	Uh oh. See my good day circling down the toilet bowl. Yay. #thisblows	This day is turning out to be really bad. #thisblows	sarcasm	{'snum': '378951903163330560-5', 'incongruency': 'explicit'}	?
25	Yup. I am so beautifully artistic ;) #Bored #Paint :) http://t.co/cJ4cgU12Je	I'm playing with paint because I'm bored, not because I'm artistic.	sarcasm	{'snum': '381431387066101761-1', 'incongruency': 'explicit'}	?
26	Yup. I am so beautifully artistic ;) #Bored #Paint :) http://t.co/cJ4cgU12Je	Yup. I am so incredibly unartistic :( #Bored #Paint :( http://t.co/cJ4cgU12Je	sarcasm	{'snum': '381431387066101761-2', 'incongruency': 'explicit'}	?
27	Yup. I am so beautifully artistic ;) #Bored #Paint :) http://t.co/cJ4cgU12Je	I am not very artistic.	sarcasm	{'snum': '381431387066101761-3', 'incongruency': 'explicit'}	?
28	Yup. I am so beautifully artistic ;) #Bored #Paint :) http://t.co/cJ4cgU12Je	I don't think this is very artistic, but I'm bored.	sarcasm	{'snum': '381431387066101761-4', 'incongruency': 'explicit'}	?
29	Yup. I am so beautifully artistic ;) #Bored #Paint :) http://t.co/cJ4cgU12Je	I am not beautifully artistic. #bored #paint	sarcasm	{'snum': '381431387066101761-5', 'incongruency': 'explicit'}	?
30	It's Good To See Maturity Is Strengthening As People Are Getting Older!	It's disheartening to see that regardless of age people can still behave immaturely.	sarcasm	{'snum': '405265389678252032-1', 'incongruency': 'implicit'}	?
31	It's Good To See Maturity Is Strengthening As People Are Getting Older!	People are getting older but still remaining immature.	sarcasm	{'snum': '405265389678252032-2', 'incongruency': 'implicit'}	?
32	It's Good To See Maturity Is Strengthening As People Are Getting Older!	People are getting more immature as they get older..	sarcasm	{'snum': '405265389678252032-3', 'incongruency': 'implicit'}	?
33	It's Good To See Maturity Is Strengthening As People Are Getting Older!	People don't seem to be maturing with age.	sarcasm	{'snum': '405265389678252032-4', 'incongruency': 'implicit'}	?
34	It's Good To See Maturity Is Strengthening As People Are Getting Older!	Maturity isn't strengthening as people are getting older.	sarcasm	{'snum': '405265389678252032-5', 'incongruency': 'implicit'}	?
35	@User oh yes and your SO nice	You're not being very nice.	sarcasm	{'snum': '406958498107654144-1', 'incongruency': 'implicit'}	?
36	@User oh yes and your SO nice	@User oh no and you're not nice	sarcasm	{'snum': '406958498107654144-2', 'incongruency': 'implicit'}	?
37	@User oh yes and your SO nice	oh yes and you're so mean	sarcasm	{'snum': '406958498107654144-3', 'incongruency': 'implicit'}	?
38	@User oh yes and your SO nice	You are actually mean, too.	sarcasm	{'snum': '406958498107654144-4', 'incongruency': 'implicit'}	?
39	Wow, I hope I grow up to be exactly like you #never	I hope when I grow up that I'm not like you.	sarcasm	{'snum': '390215277222563840-1', 'incongruency': 'explicit'}	?
40	Wow, I hope I grow up to be exactly like you #never	Wow, I hope I don't grow up to be anything like you #never	sarcasm	{'snum': '390215277222563840-2', 'incongruency': 'explicit'}	?
41	Wow, I hope I grow up to be exactly like you #never	I never want to be like you when I grow up.	sarcasm	{'snum': '390215277222563840-3', 'incongruency': 'explicit'}	?
42	Wow, I hope I grow up to be exactly like you #never	Wow, I hope I never group up to be exactly like you.	sarcasm	{'snum': '390215277222563840-4', 'incongruency': 'explicit'}	?
43	Oh don't worry, I didn't wanna go to the ToUser concert tonight anyway.. #crying #maybesomeday #MBWorldTour	I really wish that I could go to the @user concert tonight.	sarcasm	{'snum': '379015307458662401-1', 'incongruency': 'explicit'}	?
44	Oh don't worry, I didn't wanna go to the ToUser concert tonight anyway.. #crying #maybesomeday #MBWorldTour	I wanted to go to the concert tonight.	sarcasm	{'snum': '379015307458662401-2', 'incongruency': 'explicit'}	?
45	Oh don't worry, I didn't wanna go to the ToUser concert tonight anyway.. #crying #maybesomeday #MBWorldTour	Oh, I did really wanna go to the @User concert tonight #crying #maybesomeday #MBWorldTour	sarcasm	{'snum': '379015307458662401-3', 'incongruency': 'explicit'}	?
46	Oh don't worry, I didn't wanna go to the ToUser concert tonight anyway.. #crying #maybesomeday #MBWorldTour	I wanted to go to the @User concert tonight but can't.	sarcasm	{'snum': '379015307458662401-4', 'incongruency': 'explicit'}	?
47	Oh don't worry, I didn't wanna go to the ToUser concert tonight anyway.. #crying #maybesomeday #MBWorldTour	I really wanted to go the @User concert tonight.	sarcasm	{'snum': '379015307458662401-5', 'incongruency': 'explicit'}	?
48	So excited to get the bus back to aberdeen tonight.	I'm not looking forward to riding the bus back to Aberdeen tonight.	sarcasm	{'snum': '397039688105869312-1', 'incongruency': 'implicit'}	?
49	So excited to get the bus back to aberdeen tonight.	I'm not excited for the bus ride back to arberdeen tonight.	sarcasm	{'snum': '397039688105869312-2', 'incongruency': 'implicit'}	?
50	So excited to get the bus back to aberdeen tonight.	Not happy to get the bus back to aberdeen tonight.	sarcasm	{'snum': '397039688105869312-3', 'incongruency': 'implicit'}	?
51	So excited to get the bus back to aberdeen tonight.	I'm not excited to get the bus back to aberdeen tonight.	sarcasm	{'snum': '397039688105869312-4', 'incongruency': 'implicit'}	?
52	So excited to get the bus back to aberdeen tonight.	I'm not looking forward to riding the bus back to Aberdeen.	sarcasm	{'snum': '397039688105869312-5', 'incongruency': 'implicit'}	?
53	Ready for family visiting #woo #thrilled http://t.co/UAtDHfcbS8	I'm not thrilled to have my family visit.	sarcasm	{'snum': '415081015401791489-1', 'incongruency': 'explicit'}	?
54	Ready for family visiting #woo #thrilled http://t.co/UAtDHfcbS8	so not Ready for family visiting	sarcasm	{'snum': '415081015401791489-2', 'incongruency': 'explicit'}	?
55	Ready for family visiting #woo #thrilled http://t.co/UAtDHfcbS8	I wish my family wasn't visiting #woo #thrilled http://t.co/UAtDHfcbS8	sarcasm	{'snum': '415081015401791489-3', 'incongruency': 'explicit'}	?
56	Ready for family visiting #woo #thrilled http://t.co/UAtDHfcbS8	I'm not looking forward to family visiting.	sarcasm	{'snum': '415081015401791489-4', 'incongruency': 'explicit'}	?
57	Ready for family visiting #woo #thrilled http://t.co/UAtDHfcbS8	I'm not excited for this family visit.	sarcasm	{'snum': '415081015401791489-5', 'incongruency': 'explicit'}	?
58	Nothing i love more than wearing flip flops when its raining.	I hate wearing flip flops when its raining	sarcasm	{'snum': '379155126897754112-1', 'incongruency': 'implicit'}	?
