,Tweet index,Label,Tweet text,split,premise,hyp,label
0,1,1,Sweet United Nations video. Just in time for Christmas. #imagine #NoReligion  http://t.co/fej2v3OUBR,train,Lila tweeted: 'Sweet United Nations video. Just in time for Christmas. #imagine #NoReligion  http://t.co/fej2v3OUBR',Lila was ironic,True
1,2,1,@mrdahl87 We are rumored to have talked to Erv's agent... and the Angels asked about Ed Escobar... that's hardly nothing    ;),train,John tweeted: '@mrdahl87 We are rumored to have talked to Erv's agent... and the Angels asked about Ed Escobar... that's hardly nothing    ;)',John was ironic,True
2,3,1,Hey there! Nice to see you Minnesota/ND Winter Weather ,train,Maricruz tweeted: 'Hey there! Nice to see you Minnesota/ND Winter Weather ',Maricruz was ironic,True
3,4,0,3 episodes left I'm dying over here,train,Layson tweeted: '3 episodes left I'm dying over here',Layson was ironic,False
4,5,1,I can't breathe! was chosen as the most notable quote of the year in an annual list released by a Yale University librarian ,train,Neil tweeted: 'I can't breathe! was chosen as the most notable quote of the year in an annual list released by a Yale University librarian ',Neil was ironic,True
5,6,0,You're never too old for Footie Pajamas. http://t.co/ElzGqsX2yQ,train,Demi tweeted: 'You're never too old for Footie Pajamas. http://t.co/ElzGqsX2yQ',Demi was ironic,False
6,7,1,Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree.. ,train,Griffin tweeted: 'Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree.. ',Griffin was ironic,True
7,8,0,4:30 an opening my first beer now gonna be a long night/day,train,Christian tweeted: '4:30 an opening my first beer now gonna be a long night/day',Christian was ironic,False
8,9,0,@Adam_Klug do you think you would support a guy who knocked out your daughter? Rice doesn't deserve support.,train,Karina tweeted: '@Adam_Klug do you think you would support a guy who knocked out your daughter? Rice doesn't deserve support.',Karina was ironic,False
9,10,0,@samcguigan544 You are not allowed to open that until Christmas day!,train,Robert tweeted: '@samcguigan544 You are not allowed to open that until Christmas day!',Robert was ironic,False
10,11,1,"Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas. ",train,"Trey tweeted: 'Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas. '",Trey was ironic,True
11,12,0,"But instead, I'm scrolling through Facebook, Instagram, and Twitter for hours on end, accomplishing nothing. ",train,"Ethan tweeted: 'But instead, I'm scrolling through Facebook, Instagram, and Twitter for hours on end, accomplishing nothing. '",Ethan was ironic,False
12,13,0,@TargetZonePT :pouting_face: no he bloody isn't I was upstairs getting changed !,train,Oliver tweeted: '@TargetZonePT :pouting_face: no he bloody isn't I was upstairs getting changed !',Oliver was ironic,False
13,14,0,Cold or warmth both suffuse one's cheeks with pink (colour/tone) ... Do you understand the underlying difference & its texture?,train,Ivan tweeted: 'Cold or warmth both suffuse one's cheeks with pink (colour/tone) ... Do you understand the underlying difference & its texture?',Ivan was ironic,False
14,15,1,Just great when you're mobile bill arrives by text ,train,Stephenie tweeted: 'Just great when you're mobile bill arrives by text ',Stephenie was ironic,True
15,16,1,crushes are great until you realize they'll never be interested in you.| :p,train,Dev tweeted: 'crushes are great until you realize they'll never be interested in you.| :p',Dev was ironic,True
16,17,1,Buffalo sports media is smarter than all of us. Where else can you get the quality insight offered by Harrington and Busgaglia. ,train,Kenneth tweeted: 'Buffalo sports media is smarter than all of us. Where else can you get the quality insight offered by Harrington and Busgaglia. ',Kenneth was ironic,True
17,18,0,I guess my cat also lost 3 pounds when she went to the vet after I've been feeding her a few times a day.||#Eating|#food| |#WorkingOut,train,Kassandra tweeted: 'I guess my cat also lost 3 pounds when she went to the vet after I've been feeding her a few times a day.||#Eating|#food| |#WorkingOut',Kassandra was ironic,False
18,19,1,@YankeesWFAN @Ken_Rosenthal trading a SP for a defense-only SS? Brilliant trade. ,train,Tiffany tweeted: '@YankeesWFAN @Ken_Rosenthal trading a SP for a defense-only SS? Brilliant trade. ',Tiffany was ironic,True
19,20,1,"But @DarklightDave was trying to find us, and my battery died. Guess how he found us? Yes, that bastard wand! !!!!!",train,"Kaitlyn tweeted: 'But @DarklightDave was trying to find us, and my battery died. Guess how he found us? Yes, that bastard wand! !!!!!'",Kaitlyn was ironic,True
20,21,1,@deputymartinski please do..i need the second hand embarrassment so desperatly on my phone ,train,Brody tweeted: '@deputymartinski please do..i need the second hand embarrassment so desperatly on my phone ',Brody was ironic,True
21,22,0,"I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. @AZEALIABANKS tho....this girl got IT.",train,"Jack tweeted: 'I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. @AZEALIABANKS tho....this girl got IT.'",Jack was ironic,False
22,23,1,@yWTorres9 time to hit the books then ,train,Taliyah tweeted: '@yWTorres9 time to hit the books then ',Taliyah was ironic,True
